               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090195,            0.018628,            0.033609,              0.7805,             0.34229,             0.32686,             0.12353,            0.063394,           0.0089875,            0.013495,            0.070076,           0.0033249,           0.0033249
                   1,            0.061011,            0.018999,            0.014117,             0.55614,             0.56676,             0.51286,             0.23393,             0.05427,           0.0074809,           0.0075715,            0.039966,           0.0065483,           0.0065483
                   2,             0.05758,            0.017997,            0.011386,             0.64358,             0.52742,             0.52052,             0.26286,             0.05128,           0.0074334,           0.0082678,           0.0097464,           0.0096618,           0.0096618
                   3,            0.053162,            0.018195,            0.010421,             0.71414,             0.53233,             0.58403,             0.27068,             0.04745,           0.0073071,           0.0061405,            0.009505,            0.009505,            0.009505
                   4,            0.049667,            0.018219,           0.0089145,              0.7135,             0.54501,             0.58322,             0.30912,            0.044553,           0.0077843,           0.0051409,            0.009505,            0.009505,            0.009505
                   5,            0.048244,            0.018348,           0.0088967,             0.69715,             0.56034,             0.55939,             0.29415,            0.044359,           0.0074433,           0.0062636,             0.00934,             0.00934,             0.00934
                   6,            0.046133,            0.018087,           0.0084896,             0.70724,             0.60949,             0.60169,             0.32741,            0.043718,           0.0072926,           0.0051927,            0.009175,            0.009175,            0.009175
                   7,             0.04448,            0.017546,           0.0078601,             0.73314,             0.58795,              0.6148,             0.30775,            0.044511,           0.0072436,           0.0043363,             0.00901,             0.00901,             0.00901
                   8,            0.043715,            0.017717,           0.0074733,             0.76286,             0.61813,             0.63738,             0.35455,            0.042077,           0.0069025,           0.0037939,            0.008845,            0.008845,            0.008845
                   9,            0.043013,            0.017602,           0.0060222,             0.79844,             0.59901,             0.64438,             0.35109,            0.040358,           0.0069318,           0.0037185,             0.00868,             0.00868,             0.00868
                  10,            0.041536,            0.017022,           0.0063197,               0.755,             0.59508,             0.63024,             0.35284,            0.040462,           0.0069958,           0.0056995,            0.008515,            0.008515,            0.008515
                  11,            0.040923,            0.017201,           0.0063295,             0.68145,             0.55533,             0.60552,             0.33861,            0.040925,           0.0073511,           0.0042729,             0.00835,             0.00835,             0.00835
                  12,            0.039716,             0.01733,           0.0057696,              0.7802,             0.60675,             0.64451,             0.39591,            0.037996,           0.0067314,           0.0032938,            0.008185,            0.008185,            0.008185
                  13,             0.04024,            0.017062,           0.0055327,             0.77414,              0.6039,             0.64828,             0.38174,            0.038737,           0.0069352,           0.0031138,             0.00802,             0.00802,             0.00802
                  14,            0.039464,            0.016847,           0.0049474,             0.78339,             0.64795,             0.66498,             0.40094,            0.037962,            0.006602,           0.0024386,            0.007855,            0.007855,            0.007855
                  15,            0.038794,            0.016516,           0.0047183,             0.81589,             0.64554,             0.67817,             0.43003,            0.036001,           0.0064072,           0.0024187,             0.00769,             0.00769,             0.00769
                  16,            0.037627,            0.016498,           0.0045285,             0.81795,             0.63948,             0.67913,             0.41559,            0.036702,           0.0064179,            0.002501,            0.007525,            0.007525,            0.007525
                  17,            0.037617,            0.016535,           0.0042012,             0.78475,             0.64815,             0.66541,             0.39968,            0.036815,           0.0064115,           0.0021926,             0.00736,             0.00736,             0.00736
                  18,            0.036747,            0.016447,           0.0044539,             0.84392,             0.61392,             0.68307,             0.41357,            0.036184,           0.0064419,           0.0018034,            0.007195,            0.007195,            0.007195
                  19,            0.036693,            0.016421,           0.0043313,             0.79963,             0.65124,             0.67577,             0.41161,            0.035329,           0.0063601,           0.0024399,             0.00703,             0.00703,             0.00703
